"product_id","category_id","depth","name_tr","name_en"
"4302","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4303","205","0","İç Aydınlatma","Indoor Lighting"
"4303","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4304","205","0","İç Aydınlatma","Indoor Lighting"
"4304","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4305","205","0","İç Aydınlatma","Indoor Lighting"
"4305","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4306","205","0","İç Aydınlatma","Indoor Lighting"
"4306","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4307","205","0","İç Aydınlatma","Indoor Lighting"
"4307","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4308","205","0","İç Aydınlatma","Indoor Lighting"
"4308","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4309","205","0","İç Aydınlatma","Indoor Lighting"
"4309","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4310","205","0","İç Aydınlatma","Indoor Lighting"
"4310","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4311","205","0","İç Aydınlatma","Indoor Lighting"
"4311","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4312","205","0","İç Aydınlatma","Indoor Lighting"
"4312","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4313","205","0","İç Aydınlatma","Indoor Lighting"
"4313","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4314","205","0","İç Aydınlatma","Indoor Lighting"
"4314","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4315","205","0","İç Aydınlatma","Indoor Lighting"
"4315","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4316","205","0","İç Aydınlatma","Indoor Lighting"
"4316","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4317","205","0","İç Aydınlatma","Indoor Lighting"
"4317","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4318","205","0","İç Aydınlatma","Indoor Lighting"
"4318","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4319","205","0","İç Aydınlatma","Indoor Lighting"
"4319","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4320","205","0","İç Aydınlatma","Indoor Lighting"
"4320","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4321","205","0","İç Aydınlatma","Indoor Lighting"
"4321","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4322","205","0","İç Aydınlatma","Indoor Lighting"
"4322","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4323","205","0","İç Aydınlatma","Indoor Lighting"
"4323","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4324","205","0","İç Aydınlatma","Indoor Lighting"
"4324","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4325","205","0","İç Aydınlatma","Indoor Lighting"
"4325","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4326","205","0","İç Aydınlatma","Indoor Lighting"
"4326","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4327","205","0","İç Aydınlatma","Indoor Lighting"
"4327","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4328","205","0","İç Aydınlatma","Indoor Lighting"
"4328","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4329","205","0","İç Aydınlatma","Indoor Lighting"
"4329","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4330","205","0","İç Aydınlatma","Indoor Lighting"
"4330","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4331","205","0","İç Aydınlatma","Indoor Lighting"
"4331","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4332","205","0","İç Aydınlatma","Indoor Lighting"
"4332","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4333","208","0","Ampuller","Bulbs"
"4333","216","1","Halojen Ampuller","Halogen Bulbs"
"4334","208","0","Ampuller","Bulbs"
"4334","216","1","Halojen Ampuller","Halogen Bulbs"
"4335","208","0","Ampuller","Bulbs"
"4335","216","1","Halojen Ampuller","Halogen Bulbs"
"4336","208","0","Ampuller","Bulbs"
"4336","216","1","Halojen Ampuller","Halogen Bulbs"
"4337","208","0","Ampuller","Bulbs"
"4337","216","1","Halojen Ampuller","Halogen Bulbs"
"4338","208","0","Ampuller","Bulbs"
"4338","216","1","Halojen Ampuller","Halogen Bulbs"
"4340","208","0","Ampuller","Bulbs"
"4340","217","1","Mantar Ampuller","Mushroom Bulbs"
"4341","208","0","Ampuller","Bulbs"
"4341","217","1","Mantar Ampuller","Mushroom Bulbs"
"4342","208","0","Ampuller","Bulbs"
"4342","217","1","Mantar Ampuller","Mushroom Bulbs"
"4343","208","0","Ampuller","Bulbs"
"4343","217","1","Mantar Ampuller","Mushroom Bulbs"
"4344","208","0","Ampuller","Bulbs"
"4344","217","1","Mantar Ampuller","Mushroom Bulbs"
"4345","226","0","Diğer Ürünler","Other Items"
"4345","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4346","226","0","Diğer Ürünler","Other Items"
"4346","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4347","226","0","Diğer Ürünler","Other Items"
"4347","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4348","226","0","Diğer Ürünler","Other Items"
"4348","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4349","226","0","Diğer Ürünler","Other Items"
"4349","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4350","226","0","Diğer Ürünler","Other Items"
"4350","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4351","226","0","Diğer Ürünler","Other Items"
"4351","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4352","226","0","Diğer Ürünler","Other Items"
"4352","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4353","226","0","Diğer Ürünler","Other Items"
"4353","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4354","226","0","Diğer Ürünler","Other Items"
"4354","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4355","226","0","Diğer Ürünler","Other Items"
"4355","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4356","219","0","Şerit Led","Led Strip"
"4356","220","1","İç Mekan Led Şeritler","Led Strip Lights (Inside)"
"4363","219","0","Şerit Led","Led Strip"
"4363","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4369","219","0","Şerit Led","Led Strip"
"4369","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4376","219","0","Şerit Led","Led Strip"
"4376","220","1","İç Mekan Led Şeritler","Led Strip Lights (Inside)"
"4382","219","0","Şerit Led","Led Strip"
"4382","220","1","İç Mekan Led Şeritler","Led Strip Lights (Inside)"
"4393","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4393","223","1","220 v Şerit Ledler","220V Led Strips"
"4394","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4394","223","1","220 v Şerit Ledler","220V Led Strips"
"4401","219","0","Şerit Led","Led Strip"
"4401","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4408","219","0","Şerit Led","Led Strip"
"4408","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4410","219","0","Şerit Led","Led Strip"
"4410","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4412","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4412","223","1","220 v Şerit Ledler","220V Led Strips"
"4413","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4413","223","1","220 v Şerit Ledler","220V Led Strips"
"4414","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4414","225","1","Neon Led Hortumlar","Neon Led Hoses"
"4425","219","0","Şerit Led","Led Strip"
"4425","220","1","İç Mekan Led Şeritler","Led Strip Lights (Inside)"
"4428","219","0","Şerit Led","Led Strip"
"4428","221","1","Dış Mekan Led Şeritler","Led Strip Lights (Outside)"
"4434","219","0","Şerit Led","Led Strip"
"4434","220","1","İç Mekan Led Şeritler","Led Strip Lights (Inside)"
"4441","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4441","224","1","Modül Led","Module Leds"
"4447","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4447","223","1","220 v Şerit Ledler","220V Led Strips"
"4449","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4449","223","1","220 v Şerit Ledler","220V Led Strips"
"4450","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4450","223","1","220 v Şerit Ledler","220V Led Strips"
"4451","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4451","223","1","220 v Şerit Ledler","220V Led Strips"
"4452","226","0","Diğer Ürünler","Other Items"
"4452","227","1","Muhtelif Ürünler","Other Items"
"4453","222","0","Dış Mekan Şerit Led, Neon ve Ledli Hortumlar","Led Strips &amp; Led Neon Hoses"
"4453","223","1","220 v Şerit Ledler","220V Led Strips"
"4454","205","0","İç Aydınlatma","Indoor Lighting"
"4454","228","1","Kristal Cam Spotlar","Crystal Glass Spot Lights"
"4455","205","0","İç Aydınlatma","Indoor Lighting"
"4455","228","1","Kristal Cam Spotlar","Crystal Glass Spot Lights"
"4456","205","0","İç Aydınlatma","Indoor Lighting"
"4456","228","1","Kristal Cam Spotlar","Crystal Glass Spot Lights"
"4457","226","0","Diğer Ürünler","Other Items"
"4457","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4458","205","0","İç Aydınlatma","Indoor Lighting"
"4458","230","1","Led Ray Armatürler","Led Rail Lights"
"4459","205","0","İç Aydınlatma","Indoor Lighting"
"4459","230","1","Led Ray Armatürler","Led Rail Lights"
"4460","205","0","İç Aydınlatma","Indoor Lighting"
"4460","230","1","Led Ray Armatürler","Led Rail Lights"
"4461","226","0","Diğer Ürünler","Other Items"
"4461","231","1","Halojen Spotlar","Halogen Spot Lights"
"4462","226","0","Diğer Ürünler","Other Items"
"4462","231","1","Halojen Spotlar","Halogen Spot Lights"
"4463","226","0","Diğer Ürünler","Other Items"
"4463","231","1","Halojen Spotlar","Halogen Spot Lights"
"4464","205","0","İç Aydınlatma","Indoor Lighting"
"4464","228","1","Kristal Cam Spotlar","Crystal Glass Spot Lights"
"4465","205","0","İç Aydınlatma","Indoor Lighting"
"4465","228","1","Kristal Cam Spotlar","Crystal Glass Spot Lights"
"4466","226","0","Diğer Ürünler","Other Items"
"4466","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4467","226","0","Diğer Ürünler","Other Items"
"4467","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4468","226","0","Diğer Ürünler","Other Items"
"4468","229","1","Normal Downlight &amp; Vantilatörler","Downlights &amp; Fans"
"4469","226","0","Diğer Ürünler","Other Items"
